Node,Degree Centrality,Page Rank,Betweenness Centrality,Closeness Centrality
10039022,1,0.4947437553,0,0.1579223385
10071162,1,0.5230694623,0,0.1429308459
10076702,2,0.8736856287,231058.854,0.1772670267
10198072,1,0.502992167,0,0.1696758862
10207502,1,0.5112857449,0,0.1621254682
10243372,1,0.5235171686,0,0.1455806621
10251782,1,0.5018506279,0,0.154418978
10253742,1,0.5247407807,0,0.1287408454
10259352,1,0.4983118764,0,0.1550897935
10268302,2,0.8736856287,231058.854,0.1772670267
10289462,1,0.5040605598,0,0.1397582582
10307212,1,0.4991303222,0,0.1768460831
10323562,1,0.502992167,0,0.1696758862
10338632,1,0.5252243692,0,0.1353659728
10340482,1,0.4925939119,0,0.1648772824
10344992,1,0.5252243692,0,0.1353659728
10355572,1,0.5171776873,0,0.1522833711
10382352,1,0.5180185806,0,0.1325372677
10383012,1,0.5188341625,0,0.157387629
10397542,1,0.5216771254,0,0.155211438
10404232,1,0.4874654509,0,0.1679763291
10424292,1,0.5237219983,0,0.1378747462
10426892,1,0.5235171686,0,0.1455806621
10443052,1,0.5148774809,0,0.1599021102
10451672,1,0.4949054393,0,0.1774350566
10461092,1,0.5227816702,0,0.1261084103
10464092,1,0.5138986805,0,0.1504180693
10470852,1,0.4925939119,0,0.1648772824
10489722,1,0.5235171686,0,0.1455806621
10496382,1,0.5171776873,0,0.1522833711
10497032,1,0.4949054393,0,0.1774350566
10576902,1,0.5101711708,0,0.1762071948
10615232,2,0.8850862012,510640.688,0.1668192109
10637002,1,0.5141897737,0,0.1634801492
10645702,1,0.5230694623,0,0.1429308459
10655312,1,0.5252243692,0,0.1353659728
10695712,1,0.5226839739,0,0.1469147063
10718322,1,0.5218349112,0,0.1628842219
10742052,1,0.4757008185,0,0.1698423208
10767732,1,0.5238004533,0,0.1386114836
10772542,1,0.5230694623,0,0.1429308459
10781952,1,0.5235171686,0,0.1455806621
10827192,1,0.5252243692,0,0.1353659728
10832342,1,0.4757008185,0,0.1698423208
10865192,1,0.5238004533,0,0.1386114836
10911792,1,0.5185264626,0,0.1583882181
10923382,1,0.5216771254,0,0.155211438
10960012,1,0.5235272275,0,0.1380176159
10985292,1,0.5235272275,0,0.1380176159
11009742,1,0.5235171686,0,0.1455806621
11039482,1,0.526522584,0,0.1135800849
11071232,1,0.4925939119,0,0.1648772824
11102352,1,0.5100682131,0,0.1468492918
11104872,2,0.8099234349,102750.7522,0.1896598938
11115142,1,0.5247407807,0,0.1287408454
11143352,1,0.5254692297,0,0.1340222145
11178672,1,0.5055314052,0,0.1778268461
11237512,1,0.5230694623,0,0.1429308459
11246242,1,0.5116198477,0,0.1691165698
11261022,1,0.5171776873,0,0.1522833711
11278252,1,0.5055314052,0,0.1778268461
11278912,1,0.5148774809,0,0.1599021102
11288432,1,0.5215602686,0,0.1612272452
11294522,1,0.5065079473,0,0.1698631481
